id,degree,Y,catVar
137,300,0,b
138,6,0,b
139,6,0,a
140,10,0,b
141,15,0,b
142,120,0,b
143,5,0,a
144,10,0,b
145,1,0,a
146,20,0,b
147,2,0,b
148,30,0,b
149,2,0,a
150,15,1,d
151,35,1,c
152,15,1,d
153,2,0,b
154,60,0,a
155,30,1,d
156,1,0,a
157,30,0,a
158,3,1,d
159,4,0,b
160,80,0,b
161,14,0,a
162,2,0,b
163,16,0,b
164,4,0,b
165,10,0,a
166,20,0,b
167,13,0,b
168,10,0,b
169,140,0,b
170,50,0,b
171,20,0,b
172,75,0,b
173,2,0,b
174,70,0,b
175,3,0,b
176,30,0,a
177,7,0,a
178,1,1,d
179,50,0,b
180,30,0,b
181,20,0,b
182,20,0,b
183,7,0,b
184,1,0,a
185,3,0,b
186,20,0,b
187,10,1,d
188,12,0,b
189,80,1,d
190,10,1,d
191,4,0,b
192,30,1,d
193,100,1,d
194,4,0,b
195,2,0,b
196,50,1,d
197,26,1,d
198,25,0,b
199,20,0,a
200,70,0,b
201,30,0,b
202,7,0,a
203,10,0,b
204,8,0,b
205,30,1,d
206,30,0,b
207,10,0,a
208,50,1,c
209,2,0,a
210,15,1,d
211,50,0,b
212,2,1,d
213,3,0,b
214,2,0,b
215,20,0,a
216,50,0,b
217,2,1,d
218,1,0,b
219,1,0,a
220,40,0,a
221,10,0,a
222,5,0,b
223,50,0,a
224,3,0,b
225,8,1,d
226,50,0,b
227,12,0,b
228,40,1,d
229,6,0,a
230,27,0,b
231,60,0,b
232,17,0,a
233,3,0,b
234,3,1,c
235,150,0,b
236,3,0,b
237,20,0,b
238,100,0,b
239,1,0,b
240,10,0,b
241,60,0,b
242,10,0,a
243,10,0,a
244,8,0,b
245,5,0,b
246,5,0,a
247,2,0,b
248,15,1,d
249,6,0,b
250,3,0,b
251,10,0,b
252,25,1,d
253,8,0,a
254,8,0,b
255,40,1,c
256,3,0,b
257,3,0,a
258,5,0,b
259,4,0,b
260,4,0,b
261,10,0,b
262,1,0,b
263,20,1,d
264,1,0,b
265,40,1,d
266,1,0,a
267,1,0,a
268,4,0,b
269,50,0,b
270,2,0,a
271,4,0,b
272,40,0,a
273,10,0,b
274,10,0,b
275,30,0,b
276,5,1,c
277,60,1,d
278,7,0,b
279,5,0,b
280,3,0,a
281,5,0,b
282,15,0,b
283,3,0,b
284,500,1,d
285,200,1,d
286,2,0,b
287,4,0,b
288,20,0,b
289,18,1,d
290,70,0,b
291,2,0,b
292,8,0,b
293,20,0,a
294,3,0,b
295,200,1,d
296,6,0,b
297,2,0,b
298,7,0,b
299,15,0,b
300,6,0,b
301,3,0,b
302,1,1,d
303,8,0,a
304,30,1,d
305,20,0,b
306,30,1,d
307,6,1,d
308,2,0,b
309,50,0,b
310,400,0,b
311,1,0,b
312,500,0,b
313,10,1,d
314,2,0,a
315,10,0,a
316,50,0,b
317,4,0,b
318,30,0,b
319,14,1,d
320,8,0,b
321,3,0,b
322,150,1,d
323,4,1,d
324,15,1,c
325,2,1,d
326,200,0,b
327,300,1,d
328,4,0,a
329,15,1,d
330,20,0,b
331,2,0,b
332,5,0,a
333,7,0,b
334,10,1,d
335,10,0,b
336,250,0,b
337,10,0,b
338,13,1,d
339,20,0,b
340,6,0,b
341,8,0,a
342,30,1,d
343,6,0,b
344,50,1,d
345,100,0,b
346,4,0,a
347,1,0,b
348,2,0,a
349,6,0,b
350,40,0,b
351,11,1,c
352,60,1,d
353,2,0,b
354,2,0,b
355,20,0,a
356,10,0,b
357,20,1,c
358,50,0,b
359,10,0,b
360,5,0,a
361,6,0,b
362,2,0,b
363,6,0,a
364,2,0,b
365,15,0,b
366,3,0,b
367,15,0,b
368,200,0,b
369,30,1,d
370,12,1,d
371,4,0,b
372,8,0,a
373,10,0,b
374,27,0,b
375,15,0,b
376,1,0,b
377,60,0,a
378,1,0,b
379,5,0,b
380,20,0,b
381,1,0,b
382,1,0,b
383,5,0,b
384,150,0,b
385,25,0,b
386,12,0,b
387,12,0,b
388,100,0,b
389,7,1,d
390,15,0,b
391,4,0,b
392,4,0,b
393,40,0,b
394,3,0,b
395,120,0,b
396,100,0,b
397,16,0,b
398,500,0,b
399,2,0,b
400,5,1,c
401,5,0,a
402,30,0,b
403,150,0,b
404,40,1,d
405,2,0,b
406,20,0,b
407,5,0,a
408,1,0,b
409,20,0,b
410,500,0,a
411,35,1,d
412,10,0,b
413,17,0,a
414,4,1,d
415,25,0,b
416,15,0,a
417,1,1,d
418,12,0,b
419,5,0,b
420,10,0,b
421,10,0,b
422,40,0,a
423,1,0,b
424,1,0,b
425,50,1,d
426,20,0,b
427,10,0,b
428,3,1,d
429,3,0,b
430,30,1,d
431,2,0,b
432,30,0,b
433,12,1,d
434,3,0,b
435,100,0,b
436,2,0,b
437,50,0,b
438,6,0,b
439,10,0,b
440,150,1,c
441,10,1,d
442,3,0,b
443,10,0,a
444,14,0,b
445,4,0,a
446,5,0,a
447,1,1,c
448,15,1,d
449,100,0,a
450,75,0,a
451,3,0,b
452,10,0,b
453,20,1,d
454,17,0,a
455,85,1,d
456,6,0,a
457,10,0,a
458,12,1,c
459,15,0,a
460,20,1,d
461,10,0,b
462,15,1,d
463,4,0,b
464,15,0,b
465,1,0,b
466,100,1,c
467,6,0,b
468,30,0,b
469,20,0,b
470,135,0,a
471,20,0,b
472,7,0,b
473,50,1,d
474,100,1,d
475,5,0,b
476,20,1,d
477,50,0,a
478,300,0,b
479,50,0,b
480,10,0,b
481,4,0,b
482,5,0,b
483,500,1,c
484,3,1,c
485,60,0,b
486,20,0,b
487,13,0,b
488,5,0,b
489,1,0,a
490,200,1,d
491,75,0,b
492,2,0,b
493,80,0,b
494,2,0,b
495,50,1,d
496,10,0,b
497,30,0,a
498,12,0,b
499,12,0,b
500,20,0,b
501,10,0,b
502,30,0,b
503,1,0,b
504,180,0,b
505,15,0,a
506,3,0,b
507,45,1,d
508,7,0,a
509,20,0,b
510,3,0,a
511,8,0,b
512,30,0,b
513,10,0,a
514,10,0,b
515,12,1,c
516,50,0,b
517,100,1,c
518,7,0,b
519,200,0,b
520,5,0,b
521,20,0,b
522,50,0,b
523,30,0,b
524,2,0,b
525,30,1,d
526,40,1,c
527,1,0,b
528,10,0,b
529,13,0,b
530,70,1,d
531,10,0,b
532,90,0,b
533,15,0,b
534,15,0,b
535,22,0,b
536,6,0,b
537,2,0,b
538,1,0,b
539,20,0,b
540,75,0,b
541,10,0,b
542,120,0,b
543,20,0,a
544,15,0,b
545,10,0,b
546,3,0,b
547,11,0,b
548,30,1,d
549,10,0,a
550,5,0,b
551,2,0,b
552,14,0,b
553,30,0,b
554,200,0,a
555,30,0,b
556,50,1,d
557,40,0,b
558,5,0,b
559,8,1,d
560,150,0,b
561,65,0,b
562,15,1,d
563,3,0,b
564,26,0,a
565,190,0,a
566,7,0,b
567,10,0,b
568,90,0,b
569,5,0,b
570,30,1,d
571,20,1,d
572,50,0,b
573,10,0,b
574,8,0,a
575,30,0,b
576,20,0,b
577,10,0,a
578,20,1,d
579,15,0,b
580,40,0,b
581,5,0,b
582,25,0,b
583,10,0,a
584,5,0,b
585,10,0,b
586,1,0,a
587,15,0,a
588,11,1,c
589,1,0,a
590,4,0,b
591,10,0,b
592,3,0,a
593,6,0,b
594,40,1,c
595,5,0,b
596,4,0,b
597,5,0,b
598,3,0,b
599,15,0,b
600,8,1,d
601,1,0,a
602,10,1,d
603,1,0,b
604,1,0,b
605,150,0,b
606,5,0,b
607,500,0,b
608,10,0,b
609,70,0,b
610,100,0,a
611,100,0,b
612,20,0,b
613,5,0,b
614,2,0,b
615,150,0,b
616,60,0,a
617,450,1,d
618,5,0,a
619,5,0,b
620,6,0,b
621,100,1,d
622,5,0,b
623,4,0,b
624,3,0,b
625,20,1,d
626,6,0,b
627,30,1,d
628,20,0,b
629,4,0,b
630,10,0,b
631,5,0,b
632,10,0,b
633,20,0,b
634,80,1,c
635,40,0,a
636,3,0,a
637,8,0,a
638,4,0,b
639,36,0,b
640,17,1,d
641,2,0,b
642,20,0,b
643,3,0,b
644,35,0,b
645,5,0,b
646,30,0,b
647,15,0,a
648,15,0,b
649,20,0,b
650,15,0,a
651,2,0,b
652,9,0,b
653,4,0,b
654,20,1,d
655,20,1,d
656,40,0,b
657,20,1,d
658,12,0,a
659,17,0,b
660,7,0,b
661,4,0,b
662,9,1,d
663,1,0,a
664,2,0,b
665,20,0,b
666,70,0,b
667,30,0,b
668,3,0,b
669,50,1,d
670,30,0,b
671,10,0,b
672,10,0,b
673,5,0,b
674,10,0,b
675,15,0,a
676,25,0,a
677,15,0,b
678,5,0,a
679,8,0,b
680,100,0,b
681,35,1,d
682,50,0,b
683,2,0,a
684,25,1,d
685,130,0,b
686,20,0,a
687,1,0,a
688,40,0,b
689,20,1,d
690,20,1,d
691,8,0,b
692,30,0,b
693,6,0,b
694,7,0,b
695,10,0,a
696,15,1,d
697,1,0,b
698,30,0,b
699,30,0,b
700,3,0,b
701,3,0,b
702,30,1,d
703,70,0,b
704,1,0,b
705,7,0,b
706,100,0,b
707,1,0,b
708,15,1,d
709,3,1,d
710,4,0,a
711,7,0,b
712,14,1,d
713,25,1,d
714,10,1,d
715,7,0,a
716,5,0,b
717,20,0,b
718,1,1,d
719,15,0,a
720,1,1,d
721,2,0,b
722,50,0,b
723,5,0,b
724,6,0,a
725,5,0,a
726,3,0,b
727,30,1,d
728,16,1,d
729,4,0,b
730,5,0,b
731,15,1,d
732,120,0,b
733,8,1,d
734,20,1,c
735,50,1,d
736,90,0,b
737,8,0,b
738,15,0,b
739,15,1,d
740,100,0,b
741,1,0,b
742,6,1,c
743,25,0,b
744,25,0,b
745,200,1,d
746,20,1,d
747,2,0,b
748,60,0,b
749,4,0,b
750,5,1,d
751,20,1,d
752,135,1,d
753,50,1,d
754,2,0,a
755,15,0,b
756,26,1,d
757,3,0,b
758,12,0,b
759,2,0,b
760,3,0,a
761,20,0,b
762,300,0,b
763,3,0,b
764,50,1,d
765,15,0,b
766,100,0,b
767,100,0,a
768,12,0,b
769,3,1,c
770,2,0,a
771,1,0,b
772,5,0,a
773,6,0,b
774,10,0,b
775,45,0,b
776,3,0,b
777,50,1,c
778,2,0,a
779,1,0,b
780,30,0,b
781,15,0,a
782,100,0,b
783,10,0,b
784,1,0,b
785,6,0,a
786,8,0,b
787,40,0,a
788,70,1,d
789,2,0,b
790,10,1,d
791,15,1,d
792,6,0,b
793,1,0,b
794,2,0,b
795,1,1,d
796,5,0,b
797,100,1,c
798,5,1,d
799,15,0,a
800,1,0,b
801,30,0,b
802,3,0,b
803,8,1,d
804,1,1,d
805,40,0,b
806,20,1,d
807,50,0,b
808,10,0,a
809,4,1,c
810,5,0,b
811,75,0,b
812,50,1,d
813,8,0,b
814,1,0,b
815,3,0,b
816,15,1,d
817,30,0,b
818,8,0,a
819,15,0,b
820,30,1,d
821,150,1,c
822,4,0,a
823,15,1,c
824,1,0,b
825,10,0,b
826,7,0,b
827,100,0,a
828,3,0,b
829,15,0,a
830,6,0,a
831,3,0,b
832,1,0,b
833,2,1,d
834,20,0,b
835,5,0,b
836,7,0,a
837,5,0,b
838,25,1,d
839,8,0,b
840,12,0,b
841,150,0,b
842,12,0,b
843,4,0,b
844,500,1,d
845,7,0,b
846,4,0,a
847,1,0,b
848,5,0,b
849,20,0,b
850,98,0,b
851,2,0,b
852,3,0,b
853,7,0,a
854,230,0,b
855,80,0,b
856,1,0,b
857,3,0,a
858,50,1,d
859,20,1,d
860,2,0,b
861,3,0,b
862,20,0,b
863,15,0,b
864,14,1,d
865,5,0,a
866,100,0,a
867,70,0,a
868,6,0,b
869,25,0,b
870,30,0,b
871,10,0,a
872,10,0,a
873,90,0,b
874,20,1,c
875,15,0,b
876,25,0,a
877,3,0,a
878,1,0,b
879,50,0,b
880,10,1,d
881,35,1,d
882,20,0,b
883,75,0,b
884,200,1,d
885,1,0,a
886,3,0,b
887,12,0,b
888,30,0,b
889,10,0,b
890,15,0,a
891,10,0,b
892,15,0,b
893,2,0,b
894,30,0,b
895,50,0,b
896,5,0,a
897,2,0,b
898,20,0,a
899,10,0,b
900,10,0,b
901,12,0,a
902,50,0,b
903,20,1,d
904,10,0,b
905,5,0,b
906,2,0,b
907,15,0,b
908,15,0,b
909,3,1,d
910,1,1,c
911,4,1,d
912,20,1,d
913,3,0,a
914,25,0,b
915,40,0,b
916,20,1,d
917,20,0,b
918,3,0,b
919,2,0,b
920,10,1,d
921,25,0,b
922,7,0,b
923,100,0,b
924,8,0,b
925,3,0,a
926,1,0,a
927,7,0,b
928,1,0,b
929,85,1,d
930,10,0,b
931,18,0,b
932,15,0,b
933,10,0,b
934,4,0,a
935,200,0,b
936,12,0,b
937,20,1,c
938,1,0,b
939,20,0,a
940,2,0,b
941,2,1,d
942,22,0,b
943,50,0,a
944,200,0,a
945,400,0,b
946,4,0,b
947,40,1,d
948,24,0,b
949,2,0,b
950,5,0,b
951,7,1,d
952,100,1,d
953,6,1,d
954,60,1,c
955,4,0,b
956,15,0,b
957,3,0,b
958,30,1,d
959,15,1,d
960,2,0,b
961,10,0,b
962,2,0,b
963,10,0,b
964,2,0,a
965,15,1,c
966,1,0,b
967,3,0,b
968,15,1,c
969,4,0,b
970,50,1,d
971,10,0,b
972,10,0,a
973,5,1,d
974,25,0,a
975,20,1,c
976,10,1,c
977,1,0,a
978,30,1,c
979,2,1,c
980,30,1,c
981,260,0,b
982,2,0,b
983,7,0,a
984,2,0,b
985,15,0,b
986,200,0,b
987,50,1,d
988,25,0,b
989,10,0,b
990,20,1,d
991,2,0,b
992,2,0,a
993,15,0,b
994,5,1,c
995,4,0,b
996,20,0,b
997,50,0,b
998,10,0,b
999,150,0,b
1000,20,0,b
1001,8,1,c
1002,2,0,b
1003,20,0,a
1004,100,0,b
1005,5,0,b
1006,10,0,b
1007,23,0,b
1008,4,0,b
1009,20,1,d
1010,10,0,b
1011,2,0,a
1012,6,0,b
1013,8,0,b
1014,10,0,b
1015,10,1,d
1016,8,0,b
1017,8,0,b
1018,2,0,b
1019,25,0,b
1020,10,0,a
1021,15,1,d
1022,12,0,b
1023,6,1,c
1024,20,0,b
1025,40,0,b
1026,4,0,b
1027,30,0,b
1028,4,1,d
1029,7,0,b
1030,1,0,b
1031,1,0,b
1032,100,0,b
1033,60,1,c
1034,18,1,d
1035,30,0,b
1036,20,0,b
1037,15,0,b
1038,80,0,b
1039,23,0,b
1040,8,0,b
1041,15,0,b
1042,10,0,a
1043,10,0,b
1044,50,1,d
1045,25,0,b
1046,100,0,b
1047,30,0,b
1048,10,1,d
1049,25,0,a
1050,2,0,b
1051,30,1,d
1052,10,0,a
1053,30,1,c
1054,21,1,d
1055,100,0,b
1056,20,0,b
1057,100,0,a
1058,10,0,b
1059,50,1,d
1060,10,0,b
1061,4,0,b
1062,2,0,a
1063,4,0,b
1064,2,0,b
1065,10,0,a
1066,140,0,b
1067,20,1,d
1068,25,0,b
1069,6,0,a
1070,200,1,d
1071,3,0,a
1072,20,0,a
1073,12,1,d
1074,40,0,b
1075,1,0,b
1076,100,1,d
1077,10,0,b
1078,30,1,d
1079,2,0,a
1080,10,0,b
1081,80,0,b
1082,2,0,a
1083,12,0,b
1084,1,0,b
1085,40,0,b
1086,15,0,a
1087,3,0,b
1088,15,1,d
1089,7,0,b
1090,2,0,a
1091,100,0,b
1092,78,1,d
1093,1,0,a
1094,100,0,a
1095,30,0,b
1096,10,0,a
1097,50,0,a
1098,12,0,a
1099,7,0,b
1100,2,0,a
1101,20,0,a
1102,20,1,c
1103,3,0,a
1104,5,1,d
1105,20,1,d
1106,5,0,b
1107,5,0,b
1108,50,0,b
1109,6,0,b
1110,4,1,d
1111,5,0,a
1112,10,0,b
1113,30,1,d
1114,5,0,b
1115,100,0,b
1116,12,0,b
1117,20,0,b
1118,20,1,c
1119,25,0,b
1120,3,0,b
1121,15,0,b
1122,3,0,b
1123,8,0,b
1124,2,0,b
1125,1,0,a
1126,3,0,a
1127,7,0,b
1128,6,0,b
1129,3,1,d
1130,4,0,b
1131,5,0,b
1132,2,0,b
1133,30,0,a
1134,20,1,d
1135,20,0,b
1136,10,0,b
1137,10,0,a
1138,2,0,b
1139,3,0,b
1140,20,0,a
1141,3,0,b
1142,15,0,a
1143,15,0,b
1144,2,0,b
1145,200,0,b
1146,150,1,d
1147,30,0,b
1148,120,0,b
1149,2,0,b
1150,2,0,b
1151,350,0,b
1152,1,0,b
1153,17,0,b
1154,1,0,b
1155,4,0,b
1156,5,0,a
1157,2,0,b
1158,4,0,b
1159,20,0,b
1160,5,0,b
1161,2,0,b
1162,250,0,b
1163,20,0,b
1164,20,1,d
1165,20,1,d
1166,300,1,d
1167,25,0,b
1168,9,0,a
1169,5,0,a
1170,20,1,c
1171,1,0,a
1172,50,1,d
1173,30,1,d
1174,2,0,b
1175,50,0,b
1176,15,1,d
1177,7,0,a
1178,25,0,b
1179,2,0,b
1180,1,0,a
1181,10,0,b
1182,25,1,d
1183,4,0,b
1184,2,0,b
1185,2,0,b
1186,7,0,b
1187,6,0,b
1188,10,0,b
1189,20,0,b
1190,17,0,a
1191,8,0,b
1192,3,0,b
1193,1,0,b
1194,10,0,b
1195,1,0,a
1196,20,1,d
1197,3,0,a
1198,10,0,b
1199,12,1,d
1200,3,0,a
1201,30,0,b
1202,8,0,b
1203,75,0,b
1204,40,0,b
1205,2,0,b
1206,25,1,d
1207,12,0,b
1208,5,0,b
1209,1,0,b
1210,2,0,a
1211,5,0,b
1212,15,0,b
1213,20,1,c
1214,10,0,b
1215,6,0,b
1216,30,1,d
1217,100,1,d
1218,4,1,d
1219,20,0,b
1220,1,0,b
1221,25,0,b
1222,3,0,b
1223,200,0,b
1224,1,0,b
1225,10,0,b
1226,1,0,b
1227,1,0,a
1228,20,1,c
1229,30,1,d
1230,15,0,b
1231,50,0,b
1232,60,0,b
1233,10,0,b
1234,10,0,a
1235,180,0,a
1236,400,0,b
1237,150,0,b
1238,15,1,d
1239,4,0,b
1240,5,0,b
1241,30,0,b
1242,4,0,b
1243,4,0,b
1244,120,0,b
1245,1,0,b
1246,38,0,b
1247,1,0,a
1248,5,0,b
1249,20,1,c
1250,5,0,b
1251,110,1,d
1252,4,0,b
1253,200,0,b
1254,2,0,b
1255,100,0,b
1256,10,1,d
1257,50,0,b
1258,20,1,c
1259,30,0,b
1260,70,0,b
1261,10,0,b
1262,10,0,b
1263,6,0,b
1264,10,0,a
1265,20,0,b
1266,5,0,b
1267,9,1,d
1268,10,0,b
1269,3,0,b
1270,25,1,d
1271,6,1,d
1272,5,0,b
1273,10,0,b
1274,12,1,d
1275,4,0,b
1276,150,0,b
1277,6,1,d
1278,3,0,a
1279,25,0,a
1280,75,0,b
1281,2,0,b
1282,3,0,b
1283,10,0,b
1284,15,0,a
1285,2,0,b
1286,1,0,b
1287,7,0,a
1288,5,0,b
1289,3,0,b
1290,30,0,b
1291,12,1,d
1292,3,0,b
1293,14,0,b
1294,20,1,d
1295,15,0,b
1296,120,0,b
1297,2,0,a
1298,22,0,b
1299,12,0,b
1300,2,0,b
1301,10,0,b
1302,60,1,d
1303,1,0,a
1304,40,0,a
1305,100,0,b
1306,5,0,b
1307,15,1,c
1308,60,1,c
1309,30,0,b
1310,40,1,c
1311,50,1,c
1312,80,0,b
1313,3,0,b
1314,38,0,b
1315,25,1,c
1316,2,0,b
1317,3,0,b
1318,2,0,a
1319,30,0,b
1320,20,1,d
1321,15,1,d
1322,20,0,b
1323,100,0,b
1324,12,1,d
1325,11,0,a
1326,2,0,a
1327,20,1,d
1328,10,0,a
1329,3,0,b
1330,6,0,b
1331,50,0,b
1332,6,0,b
1333,9,0,b
1334,1,0,a
1335,5,0,b
1336,15,1,d
1337,25,0,b
1338,15,0,b
1339,40,1,c
1340,3,0,a
1341,10,0,b
1342,4,0,a
1343,25,1,d
1344,150,1,d
1345,10,0,a
1346,10,1,d
1347,2,0,a
1348,20,0,b
1349,5,0,a
1350,5,0,b
1351,15,1,c
1352,15,1,c
1353,4,0,b
1354,150,0,b
1355,1,1,c
1356,10,0,b
1357,130,1,d
1358,5,0,b
1359,6,0,b
1360,30,0,a
1361,20,0,a
1362,10,0,b
1363,75,1,d
1364,2,0,a
1365,30,0,a
1366,20,0,b
1367,6,0,b
1368,50,1,d
1369,2,0,b
1370,25,0,b
1371,16,1,c
1372,12,0,b
1373,20,0,b
1374,100,1,d
1375,2,0,a
1376,15,1,d
1377,25,0,b
1378,30,0,b
1379,5,0,a
1380,45,0,b
1381,40,1,d
1382,20,1,d
1383,40,0,b
1384,30,1,c
1385,20,0,b
1386,30,1,d
1387,7,0,a
1388,10,1,c
1389,15,1,d
1390,57,0,b
1391,2,0,a
1392,20,1,d
1393,11,0,b
1394,3,0,b
1395,1,0,b
1396,25,1,d
1397,1,0,a
1398,3,1,d
1399,10,0,a
1400,20,0,b
1401,100,0,b
1402,2,0,b
1403,12,0,b
1404,3,0,b
1405,100,1,d
1406,6,1,d
1407,1,0,b
1408,70,0,b
1409,10,0,b
1410,50,0,b
1411,5,0,a
1412,1,1,d
1413,2,0,b
1414,1,0,b
1415,10,0,a
1416,50,0,b
1417,6,0,b
1418,5,0,b
1419,20,0,b
1420,3,0,a
1421,10,0,a
1422,12,1,c
1423,2,0,b
1424,3,1,d
1425,2,0,b
1426,4,0,a
1427,6,0,b
1428,8,0,a
1429,10,0,b
1430,8,0,b
1431,1,0,b
1432,100,0,a
1433,10,0,a
1434,50,0,b
1435,200,0,b
1436,50,0,a
1437,30,0,b
1438,56,1,d
1439,5,0,b
1440,2,0,b
1441,25,0,b
1442,40,0,a
1443,3,0,b
1444,85,0,a
1445,36,0,b
1446,6,0,b
1447,4,1,d
1448,80,0,b
1449,1,0,b
1450,15,0,b
1451,2,0,b
1452,4,0,b
1453,4,0,b
1454,6,0,b
1455,25,0,b
1456,1,0,b
1457,15,0,b
1458,1,0,a
1459,4,0,a
1460,200,1,d
1461,25,0,b
1462,30,0,b
1463,60,0,a
1464,8,0,a
1465,20,0,b
1466,10,0,b
1467,50,1,d
1468,11,0,a
1469,1,0,a
1470,7,0,b
1471,15,0,b
1472,7,0,b
1473,3,0,b
1474,15,1,d
1475,1,0,b
1476,20,0,b
1477,2,0,b
1478,100,0,a
1479,1,0,b
1480,2,0,a
1481,80,1,d
1482,60,0,b
1483,5,0,b
1484,35,0,b
1485,15,1,d
1486,6,0,b
1487,50,0,a
1488,5,0,b
1489,20,1,d
1490,25,1,c
1491,10,0,b
1492,2,0,b
1493,380,0,b
1494,10,0,b
1495,85,0,b
1496,120,1,d
1497,2,0,b
1498,10,0,b
1499,1,1,d
1500,1,0,b
1501,3,0,b
1502,10,0,b
1503,30,0,b
1504,2,0,a
1505,3,0,b
1506,50,0,a
1507,5,0,b
1508,1,0,b
1509,20,0,b
1510,4,0,b
1511,10,0,b
1512,3,0,b
1513,15,0,b
1514,6,0,a
1515,9,0,b
1516,10,0,b
1517,6,1,d
1518,20,1,d
1519,30,1,d
1520,4,0,b
1521,4,0,b
1522,20,0,a
1523,12,1,d
1524,12,1,d
1525,5,0,b
1526,5,0,a
1527,10,0,b
1528,10,0,b
1529,5,0,b
1530,20,0,a
1531,85,1,d
1532,30,0,a
1533,2,1,d
1534,75,1,c
1535,2,0,b
1536,25,0,b
1537,50,0,b
1538,40,0,b
1539,3,0,a
1540,120,0,b
1541,13,0,b
1542,8,0,b
1543,2,0,b
1544,10,0,b
1545,5,0,b
1546,20,0,b
1547,3,0,b
1548,1,0,b
1549,2,0,b
1550,30,1,d
1551,5,0,a
1552,100,0,b
1553,50,0,a
1554,20,0,b
1555,15,0,b
1556,6,0,b
1557,25,0,a
1558,25,1,c
1559,7,0,b
1560,1,0,b
1561,2,0,b
1562,15,0,b
1563,4,0,a
1564,30,0,b
1565,10,0,a
1566,150,0,a
1567,4,0,b
1568,20,0,b
1569,2,0,b
1570,15,0,a
1571,20,0,b
1572,6,1,c
1573,3,0,b
1574,6,0,b
1575,16,1,d
1576,5,0,b
1577,1,0,b
1578,50,0,a
1579,40,0,b
1580,3,0,b
1581,3,0,b
1582,2,0,a
1583,9,0,b
1584,30,1,d
1585,5,0,b
1586,4,0,b
1587,2,1,d
1588,1,0,b
1589,100,1,d
1590,20,0,a
1591,30,1,d
1592,20,0,b
1593,2,0,a
1594,150,0,b
1595,20,0,b
1596,24,0,b
1597,8,0,b
1598,50,1,d
1599,10,0,a
1600,60,0,b
1601,2,0,b
1602,12,1,d
1603,60,1,c
1604,1,1,d
1605,4,0,a
1606,200,1,d
1607,20,1,c
1608,40,1,d
1609,1,0,a
1610,4,0,b
1611,1,0,b
1612,40,0,a
1613,100,1,c
1614,1,0,b
1615,5,0,a
1616,1,0,b
1617,3,0,a
1618,6,0,a
1619,40,0,b
1620,6,0,b
1621,12,0,b
1622,1,0,b
1623,6,0,b
1624,3,0,b
1625,10,1,d
1626,2,0,b
1627,3,0,b
1628,1,0,b
1629,20,0,b
1630,4,0,b
1631,10,0,a
1632,500,0,a
1633,12,0,b
1634,5,0,b
1635,2,0,a
1636,5,0,b
1637,1000,0,b
1638,10,0,a
1639,5,1,d
1640,3,0,b
1641,1,0,b
1642,30,1,d
1643,25,0,b
1644,20,1,d
1645,10,0,b
1646,20,0,b
1647,10,0,b
1648,150,1,d
1649,1,0,a
1650,14,1,d
1651,4,0,b
1652,1,0,b
1653,10,1,d
1654,15,0,a
1655,2,0,a
1656,10,0,a
1657,4,0,b
1658,1,0,b
1659,50,0,b
1660,10,0,b
1661,20,1,c
1662,10,0,b
1663,150,0,b
