id,degree,Y
496,2,0
497,6,0
498,10,0
499,11,0
500,7,0
501,4,0
502,10,1
503,6,0
504,7,0
505,10,1
506,8,0
507,4,0
508,5,1
509,5,1
510,7,1
511,3,0
512,8,1
513,6,0
514,4,0
515,4,0
516,5,0
517,8,0
518,6,0
519,11,0
520,3,0
521,5,0
522,10,0
523,4,0
524,5,0
525,10,0
526,5,0
527,6,0
528,8,0
529,3,0
530,5,0
531,7,0
532,4,0
533,4,0
534,5,0
535,3,0
536,8,0
537,12,0
538,3,0
539,7,1
540,7,0
541,4,0
542,8,0
543,6,1
544,3,0
545,5,0
546,1,0
547,11,0
548,5,0
549,11,0
550,12,0
551,3,0
552,7,1
553,1,0
554,4,0
555,5,0
556,7,0
557,6,0
558,9,0
559,7,1
560,12,0
561,5,1
562,7,1
563,13,0
564,3,0
565,8,0
566,9,1
567,4,1
568,3,1
569,7,0
570,11,1
571,6,0
572,3,0
573,5,0
574,3,0
575,8,1
576,6,1
577,4,0
578,1,0
579,9,0
580,5,0
581,10,1
582,5,1
583,6,0
584,3,0
585,6,1
586,4,0
587,10,0
588,7,1
589,13,1
590,3,0
591,2,0
592,6,0
593,2,1
594,8,0
595,5,0
596,5,0
597,2,0
598,6,0
599,6,0
600,7,0
601,3,1
602,7,0
603,2,0
604,9,0
605,6,0
606,5,0
607,8,1
608,5,0
609,4,0
610,3,0
611,8,0
612,3,1
613,10,0
614,6,0
615,2,0
616,9,0
617,9,0
618,6,0
619,10,0
620,5,1
621,6,0
622,12,0
623,6,0
624,5,0
625,8,1
626,5,0
627,4,0
628,8,0
629,6,1
630,10,0
631,5,0
632,4,0
633,7,0
634,5,0
635,7,0
636,9,0
637,6,0
638,4,0
639,5,1
640,4,0
641,13,0
642,6,0
643,5,0
644,6,0
645,4,0
646,5,0
647,5,0
648,5,0
649,5,0
650,6,0
651,7,0
652,8,0
653,7,0
654,4,1
655,9,0
656,7,0
657,3,0
658,6,0
659,8,0
660,3,0
661,4,0
662,6,0
663,12,0
664,5,0
665,3,0
666,9,0
667,7,0
668,4,1
669,7,0
670,4,0
671,6,0
672,5,0
673,3,0
674,5,0
675,5,0
676,11,0
677,3,0
678,3,0
679,2,0
680,9,0
681,9,0
682,8,0
683,2,0
684,4,0
685,11,0
686,8,0
687,6,0
688,3,0
689,5,0
690,7,0
691,5,1
692,10,0
693,8,0
694,3,0
695,5,0
696,5,0
697,7,0
698,7,0
699,5,0
700,3,0
701,4,0
702,6,0
703,6,0
704,5,0
705,6,1
706,6,0
707,3,0
708,3,0
709,5,0
710,2,0
711,2,0
712,1,0
713,7,1
714,10,0
715,8,0
716,6,1
717,5,0
718,11,0
719,6,1
720,3,0
721,5,0
722,7,0
723,9,0
724,11,1
725,5,0
726,8,1
727,6,1
728,5,1
729,9,0
730,10,1
731,8,1
732,10,0
733,7,0
734,8,0
735,5,0
736,10,0
737,2,0
738,5,1
739,7,0
740,5,0
741,8,0
742,5,0
743,5,1
744,6,1
745,7,0
746,5,0
747,8,0
748,4,0
749,9,0
750,10,0
751,8,0
752,9,1
753,6,0
754,7,1
755,2,0
756,3,0
757,4,0
758,9,0
759,5,0
760,3,0
761,3,0
762,8,0
763,6,0
764,6,0
765,6,0
766,5,0
767,5,0
768,10,1
769,9,0
770,8,0
771,7,0
772,8,1
773,8,0
774,2,0
775,9,0
776,5,1
777,7,1
778,8,0
779,7,0
780,7,0
781,6,0
782,2,0
783,6,0
784,5,0
785,6,0
786,7,1
787,9,1
788,1,0
789,6,0
790,3,0
791,8,0
792,4,0
793,4,0
794,5,1
795,10,0
796,5,0
797,7,0
798,2,1
799,4,0
800,3,0
801,7,0
802,0,0
803,5,0
804,9,0
805,6,0
806,7,0
807,4,1
808,2,0
809,11,0
810,7,0
811,3,0
812,4,0
813,7,0
814,8,0
815,4,0
816,5,0
817,9,0
818,7,0
819,9,0
820,7,1
821,7,0
822,8,0
823,7,0
824,5,0
825,7,1
826,6,1
827,4,0
828,3,0
829,5,0
830,8,0
831,7,1
832,7,0
833,2,1
834,7,0
835,5,1
836,6,0
837,6,0
838,4,0
839,8,0
840,9,0
841,4,0
842,4,0
843,6,0
844,6,0
845,5,1
846,4,0
847,3,0
848,9,0
849,4,0
850,2,1
851,5,1
852,8,0
853,9,0
854,11,0
855,6,0
856,6,0
857,8,1
858,7,0
859,10,0
860,6,0
861,7,0
862,10,0
863,6,0
864,2,0
865,7,1
866,2,0
867,7,1
868,10,0
869,6,0
870,8,0
871,3,0
872,5,0
873,3,0
874,7,1
875,3,0
876,8,0
877,2,0
878,5,0
879,7,0
880,7,0
881,4,0
882,6,0
883,8,1
884,4,0
885,3,1
886,1,1
887,2,0
888,7,0
889,3,1
890,6,0
891,7,0
892,9,1
893,5,0
894,7,0
895,3,0
896,5,0
897,6,0
898,8,0
899,3,1
900,4,0
901,4,1
902,6,0
903,5,0
904,3,1
905,5,1
906,8,0
907,4,0
908,5,1
909,7,0
910,4,0
911,10,0
912,3,0
913,7,1
914,4,0
915,5,0
916,5,1
917,6,0
918,10,1
919,4,0
920,6,0
921,6,0
922,7,0
923,7,0
924,7,1
925,6,0
926,11,0
927,6,0
928,9,0
929,3,0
930,10,0
931,7,0
932,6,0
933,6,0
934,5,0
935,4,0
936,4,0
937,6,0
938,4,0
939,7,1
940,12,0
941,6,1
942,3,0
943,8,1
944,3,0
945,5,0
946,3,0
947,2,0
948,7,0
949,3,0
950,3,0
951,5,0
952,2,0
953,3,0
954,3,0
955,5,0
956,6,0
957,10,0
958,11,0
959,1,1
960,5,0
961,4,0
962,4,0
963,8,0
964,5,0
965,8,1
966,13,0
967,13,1
968,5,1
969,8,0
970,7,0
971,6,0
972,8,0
973,3,0
974,3,0
975,7,0
976,6,1
977,5,0
978,4,1
979,4,0
980,10,0
981,6,0
982,9,0
983,5,0
984,5,0
985,8,0
986,10,1
987,7,1
988,5,0
989,10,1
990,5,0
991,7,0
992,4,0
993,1,1
994,5,0
995,4,0
996,3,0
997,11,0
998,10,1
999,7,0
1000,5,1
1001,4,0
1002,6,0
1003,6,0
1004,8,0
1005,9,0
1006,7,1
1007,5,0
1008,4,0
1009,5,0
1010,6,0
1011,4,0
1012,5,0
1013,7,0
1014,7,0
1015,5,0
1016,3,0
1017,5,0
1018,8,0
1019,7,0
1020,6,0
1021,4,1
1022,3,0
1023,6,0
1024,8,0
1025,4,0
1026,4,1
1027,5,0
1028,6,1
1029,4,1
1030,7,0
1031,7,1
1032,4,0
1033,4,0
1034,6,0
1035,9,0
1036,4,0
1037,2,1
1038,4,0
1039,10,0
1040,4,0
1041,4,0
1042,4,1
1043,7,0
1044,6,1
1045,6,1
1046,7,0
1047,5,0
1048,9,0
1049,7,1
1050,6,0
1051,5,0
1052,6,0
1053,8,0
1054,8,0
1055,10,1
1056,6,0
1057,7,0
1058,6,0
1059,4,0
1060,8,1
1061,2,0
1062,8,1
1063,6,0
1064,6,0
1065,9,0
1066,3,0
1067,3,0
1068,12,0
1069,7,1
1070,4,0
1071,4,0
1072,6,1
1073,1,0
1074,4,0
1075,7,0
1076,8,0
1077,4,0
1078,11,1
1079,7,0
1080,5,0
1081,8,0
1082,10,0
1083,2,1
1084,7,0
1085,8,0
1086,3,0
1087,6,0
1088,3,0
1089,7,1
1090,5,0
1091,9,0
1092,7,0
1093,7,1
1094,6,0
1095,3,0
1096,4,1
1097,6,0
1098,9,0
1099,8,0
1100,11,0
1101,8,0
1102,2,1
1103,5,0
1104,6,0
1105,9,1
1106,3,1
1107,7,0
1108,3,0
1109,3,0
1110,6,0
1111,4,0
1112,5,1
1113,8,0
1114,10,0
1115,5,0
1116,4,0
1117,8,0
1118,9,0
1119,11,0
1120,6,0
1121,6,0
1122,6,0
1123,5,0
1124,9,0
1125,7,0
1126,10,0
1127,4,0
1128,12,0
1129,5,0
1130,6,0
1131,9,1
1132,9,0
1133,4,1
1134,6,0
1135,3,0
1136,9,0
1137,10,0
1138,3,0
1139,7,0
1140,5,0
1141,8,0
1142,7,0
1143,12,0
1144,8,0
1145,2,0
1146,8,0
1147,4,1
1148,3,1
1149,7,0
1150,10,0
1151,11,0
1152,7,0
1153,8,0
1154,6,0
1155,3,0
1156,3,0
1157,3,0
1158,6,0
1159,11,1
1160,4,0
1161,9,0
1162,7,0
1163,6,0
1164,5,0
1165,3,0
1166,6,0
1167,8,0
1168,9,0
1169,7,0
1170,6,0
1171,7,0
1172,8,0
1173,10,0
1174,12,0
1175,4,0
1176,5,0
1177,3,0
1178,5,0
1179,2,0
1180,4,1
1181,5,0
1182,7,0
1183,3,0
1184,7,0
1185,4,0
1186,5,0
1187,9,0
1188,4,0
1189,3,1
1190,3,0
1191,10,1
1192,5,0
1193,5,0
1194,2,0
1195,2,0
1196,5,1
1197,4,0
1198,7,0
1199,4,0
1200,7,0
1201,6,1
1202,3,0
1203,11,0
1204,7,0
1205,1,0
1206,7,0
1207,2,0
1208,3,0
1209,6,0
1210,4,0
1211,5,0
1212,4,1
1213,7,0
1214,6,1
1215,7,0
1216,12,0
1217,6,1
1218,6,0
1219,4,1
1220,5,0
1221,8,0
1222,3,0
1223,4,0
1224,10,0
1225,5,0
1226,2,0
1227,6,0
1228,5,0
1229,4,0
1230,8,0
1231,5,0
1232,7,0
1233,5,0
1234,10,1
1235,9,1
1236,4,0
1237,2,0
1238,4,0
1239,5,0
1240,8,0
1241,5,1
1242,5,0
1243,2,0
1244,4,0
1245,4,0
1246,2,0
1247,11,0
1248,5,0
1249,5,1
1250,6,0
1251,6,1
1252,9,0
1253,10,0
1254,8,0
1255,5,0
1256,4,1
1257,7,0
1258,6,0
1259,6,0
1260,11,0
1261,5,0
1262,5,0
1263,5,0
1264,1,0
1265,7,0
1266,10,0
1267,3,0
1268,4,0
1269,8,1
1270,6,0
1271,11,0
1272,7,0
1273,2,0
1274,9,1
1275,5,0
1276,5,0
1277,5,0
1278,5,0
1279,6,0
1280,6,0
1281,4,0
1282,4,0
1283,9,0
1284,4,1
1285,7,0
1286,7,0
1287,4,0
1288,9,0
1289,7,0
1290,9,0
1291,5,0
1292,4,0
1293,6,1
1294,7,0
1295,3,0
1296,4,1
1297,8,0
1298,12,1
1299,6,0
1300,8,0
1301,8,0
1302,1,1
1303,5,0
1304,6,0
1305,4,0
1306,2,0
1307,8,0
1308,9,0
1309,9,0
1310,7,0
1311,7,0
1312,7,0
1313,6,0
1314,9,0
1315,5,0
1316,7,0
1317,4,0
1318,3,1
1319,6,0
1320,6,1
1321,8,0
1322,3,0
1323,8,0
1324,5,1
1325,7,1
1326,9,0
1327,2,0
1328,2,0
1329,6,0
1330,3,0
1331,7,0
1332,5,0
1333,6,0
1334,3,0
1335,9,1
1336,1,1
1337,4,0
1338,8,0
1339,8,0
1340,6,0
1341,6,1
1342,4,1
1343,4,0
1344,5,1
1345,8,0
1346,9,1
1347,6,1
1348,9,1
1349,2,0
1350,10,1
1351,7,0
1352,4,0
1353,9,0
1354,6,1
1355,8,1
1356,10,0
1357,3,0
1358,2,0
1359,5,1
1360,7,0
1361,6,0
1362,5,0
1363,2,1
1364,4,0
1365,7,0
1366,8,0
1367,2,0
1368,6,1
1369,11,0
1370,3,0
1371,7,0
1372,6,0
1373,6,0
1374,5,0
1375,5,0
1376,9,0
1377,6,0
1378,4,0
1379,7,0
1380,5,0
1381,6,1
1382,7,0
1383,8,0
1384,6,0
1385,4,0
1386,6,0
1387,7,1
1388,6,1
1389,7,1
1390,4,0
1391,13,0
1392,2,0
1393,5,0
1394,8,0
1395,2,0
1396,3,0
1397,8,1
1398,11,0
1399,5,1
1400,5,0
1401,8,0
1402,4,0
1403,4,1
1404,9,0
1405,4,0
1406,8,0
1407,1,1
1408,7,0
1409,7,0
1410,5,0
1411,3,0
1412,8,0
1413,10,1
1414,6,0
1415,2,0
1416,0,0
1417,6,0
1418,4,0
1419,9,0
1420,7,0
1421,7,0
1422,4,0
1423,9,0
1424,4,0
1425,4,0
1426,8,0
1427,4,0
1428,5,0
1429,4,1
1430,13,0
1431,9,1
1432,7,0
1433,8,0
1434,7,0
1435,5,0
1436,6,1
1437,6,0
1438,4,0
1439,6,0
1440,6,0
1441,8,1
1442,4,0
1443,7,0
1444,2,0
1445,10,0
1446,4,0
1447,5,0
1448,4,0
1449,6,1
1450,11,0
1451,6,0
1452,6,0
1453,3,0
1454,7,0
1455,4,1
1456,4,0
1457,6,1
1458,5,0
1459,6,0
1460,5,0
1461,6,0
1462,1,1
1463,10,1
1464,7,0
1465,3,0
1466,5,0
1467,7,0
1468,8,0
1469,8,0
1470,6,0
1471,5,0
1472,8,0
1473,3,0
1474,4,0
1475,5,1
1476,5,0
1477,3,0
1478,7,1
1479,4,0
1480,9,0
1481,2,0
1482,5,0
1483,6,1
1484,7,0
1485,8,0
1486,7,0
1487,5,0
1488,5,0
1489,3,0
1490,5,0
1491,12,0
1492,6,0
1493,8,0
1494,10,0
1495,8,0
1496,9,1
1497,1,1
1498,7,0
1499,9,0
1500,8,1
1501,2,0
1502,3,0
1503,5,0
1504,5,0
1505,4,0
1506,3,0
1507,9,0
1508,10,0
1509,7,0
1510,7,0
1511,4,0
1512,11,0
1513,4,1
1514,4,0
1515,6,0
1516,8,0
1517,7,0
1518,5,0
1519,7,0
1520,6,0
1521,4,1
1522,7,1
1523,2,0
1524,8,1
1525,4,0
1526,5,0
1527,4,1
1528,3,0
1529,12,0
1530,6,0
1531,4,0
1532,1,0
1533,5,0
1534,3,0
1535,2,0
1536,4,0
1537,4,1
1538,5,1
1539,6,0
1540,6,0
1541,6,0
1542,5,1
1543,10,0
1544,2,0
1545,5,0
1546,10,0
1547,3,0
1548,7,0
1549,5,0
1550,9,0
1551,7,0
1552,7,0
1553,9,0
1554,3,0
1555,8,0
1556,9,0
1557,4,0
1558,12,0
1559,9,0
1560,9,0
1561,8,0
1562,4,0
1563,5,0
1564,8,0
1565,7,0
1566,3,1
1567,6,0
1568,6,1
1569,4,0
1570,7,0
1571,5,0
1572,7,0
1573,4,0
1574,9,0
1575,2,0
1576,6,0
1577,5,0
1578,8,0
1579,10,0
1580,5,0
1581,10,1
1582,4,0
1583,2,0
1584,8,0
1585,6,1
1586,5,0
1587,12,0
1588,1,0
1589,6,1
1590,5,0
1591,4,0
1592,7,0
1593,7,1
1594,7,1
1595,5,1
1596,5,0
1597,6,0
1598,10,0
1599,7,0
1600,4,1
1601,5,0
1602,9,0
1603,10,0
1604,1,1
1605,9,1
1606,4,1
1607,3,0
1608,4,0
1609,7,0
1610,7,0
1611,5,0
1612,9,0
1613,7,0
1614,6,0
1615,5,0
1616,3,0
1617,3,0
1618,9,1
1619,9,1
1620,4,0
1621,7,0
1622,7,0
1623,7,1
1624,4,1
1625,9,0
1626,9,0
1627,7,0
1628,5,0
1629,5,0
1630,5,1
1631,5,1
1632,5,0
1633,8,0
1634,4,0
1635,5,0
1636,4,0
1637,7,1
1638,3,0
1639,9,0
1640,4,0
1641,7,0
1642,5,0
1643,6,0
1644,5,0
1645,7,0
1646,7,0
1647,7,0
1648,9,1
1649,5,1
1650,6,0
1651,3,0
1652,8,0
1653,13,0
1654,8,0
1655,2,0
1656,5,0
1657,4,0
1658,5,0
1659,6,0
1660,6,0
1661,6,0
1662,2,1
1663,5,0
1664,7,1
1665,5,0
1666,9,0
1667,5,1
1668,4,0
1669,10,0
1670,5,0
1671,2,0
1672,9,1
1673,3,0
1674,7,0
1675,7,0
1676,8,0
1677,8,0
1678,8,0
1679,7,0
1680,8,0
1681,5,0
1682,3,0
1683,6,0
1684,4,0
1685,4,1
1686,11,0
1687,5,0
1688,7,1
1689,7,0
1690,7,0
1691,4,1
1692,1,0
1693,5,0
1694,9,0
1695,3,0
1696,7,0
1697,4,0
1698,6,0
1699,6,0
1700,4,0
1701,10,0
1702,7,1
1703,3,0
1704,9,0
1705,7,0
1706,3,0
1707,11,0
1708,5,1
1709,7,0
1710,8,0
1711,10,0
1712,1,0
1713,6,0
1714,3,0
1715,5,0
1716,6,0
1717,9,1
1718,9,0
1719,5,0
1720,3,0
1721,9,0
1722,7,1
1723,4,0
1724,8,0
1725,3,0
1726,7,0
1727,6,0
1728,10,0
1729,4,0
1730,8,1
1731,5,0
1732,4,0
1733,8,1
1734,5,0
1735,4,0
1736,4,0
1737,4,0
1738,4,0
1739,5,0
1740,3,0
1741,4,0
1742,5,0
1743,8,0
1744,4,0
1745,11,0
1746,6,1
1747,4,1
1748,3,0
1749,9,1
1750,3,1
1751,5,0
1752,4,0
1753,13,0
1754,5,1
1755,5,0
1756,8,1
1757,5,0
1758,6,0
1759,4,0
1760,9,0
1761,10,0
1762,5,0
1763,8,0
1764,6,0
1765,4,0
1766,9,1
1767,9,0
1768,8,1
1769,13,0
1770,8,0
1771,4,0
1772,7,0
1773,11,0
1774,2,0
1775,8,0
1776,3,0
1777,7,0
1778,0,0
1779,8,1
1780,5,0
1781,8,0
1782,10,0
1783,4,0
1784,5,1
1785,7,0
1786,6,0
1787,3,0
1788,4,0
1789,7,0
1790,11,0
1791,5,1
1792,5,1
1793,5,0
1794,8,0
1795,8,0
1796,2,0
1797,5,0
1798,8,0
1799,6,0
1800,7,1
1801,6,0
1802,3,0
1803,8,1
1804,3,0
1805,8,1
1806,6,0
1807,5,0
1808,3,1
1809,3,0
1810,7,0
1811,4,0
1812,6,0
1813,12,0
1814,10,0
1815,8,0
1816,6,0
1817,11,1
1818,4,0
1819,4,0
1820,8,0
1821,6,0
1822,11,0
1823,2,0
1824,8,1
1825,5,0
1826,4,0
1827,9,0
1828,8,0
1829,5,1
1830,7,0
1831,9,0
1832,8,0
1833,4,0
1834,5,0
1835,8,0
1836,12,0
1837,5,1
1838,10,0
1839,6,0
1840,3,0
1841,7,0
1842,6,0
1843,2,1
1844,7,0
1845,5,0
1846,7,0
1847,2,0
1848,3,0
1849,10,0
1850,5,0
1851,5,1
1852,5,0
1853,6,1
1854,10,1
1855,7,0
1856,9,0
1857,3,0
1858,2,0
1859,8,0
1860,3,1
1861,5,0
1862,11,0
1863,5,0
1864,7,0
1865,6,1
1866,4,0
1867,8,0
1868,3,0
1869,7,0
1870,8,0
1871,2,0
1872,5,0
1873,8,0
1874,5,0
1875,12,0
1876,1,0
1877,14,0
1878,5,0
1879,6,0
1880,6,0
1881,7,1
1882,3,1
1883,3,0
1884,7,0
1885,6,1
1886,5,0
1887,7,0
1888,0,0
1889,9,0
1890,11,0
1891,2,1
1892,5,1
1893,9,0
1894,5,0
1895,2,0
1896,9,0
1897,5,0
1898,8,0
1899,8,0
1900,6,0
1901,7,0
1902,3,0
1903,5,0
1904,6,0
1905,5,0
1906,5,1
1907,8,0
1908,4,0
1909,1,0
1910,5,0
1911,5,0
1912,3,0
1913,3,0
1914,5,0
1915,6,1
1916,5,0
1917,10,1
1918,3,1
1919,4,0
1920,4,1
1921,9,0
1922,4,1
1923,5,0
1924,10,0
1925,9,0
1926,2,0
1927,11,1
1928,6,0
1929,9,1
1930,6,1
1931,4,0
1932,13,0
1933,9,0
1934,4,0
1935,4,0
1936,7,0
1937,11,0
1938,5,0
1939,3,0
1940,6,0
1941,5,0
1942,4,0
1943,7,0
1944,8,1
1945,11,0
1946,2,0
1947,6,1
1948,7,1
1949,8,1
1950,5,0
1951,5,1
1952,6,0
1953,3,0
1954,2,0
1955,10,0
1956,5,0
1957,3,0
1958,3,0
1959,5,0
1960,7,0
1961,4,0
1962,4,1
1963,7,0
1964,7,0
1965,7,0
1966,1,0
1967,2,0
1968,8,0
1969,6,1
1970,1,0
1971,8,0
1972,5,0
1973,2,1
1974,8,0
1975,7,0
1976,6,0
1977,7,0
1978,6,0
1979,5,1
1980,3,0
1981,1,0
1982,9,0
1983,7,0
1984,9,1
1985,4,0
1986,5,0
1987,8,0
1988,1,0
1989,3,0
1990,2,1
1991,3,0
1992,5,0
1993,4,0
1994,8,0
1995,4,0
1996,8,0
1997,3,0
1998,7,0
1999,9,0
2000,6,0
2001,9,0
2002,5,0
2003,4,1
2004,6,0
2005,8,0
2006,7,0
2007,6,0
2008,8,0
2009,5,0
2010,8,0
2011,4,1
2012,5,0
2013,6,0
2014,3,0
2015,6,0
2016,5,0
2017,8,0
2018,4,0
2019,7,0
2020,8,0
2021,6,0
2022,7,0
2023,3,0
2024,5,0
2025,5,0
2026,3,0
2027,7,0
2028,8,0
2029,7,1
2030,4,0
2031,4,0
2032,5,0
2033,8,0
2034,3,0
2035,9,0
2036,0,0
2037,6,0
2038,2,0
2039,8,0
2040,10,0
2041,2,1
2042,10,0
2043,4,0
2044,8,0
2045,9,0
2046,14,0
2047,7,0
2048,7,0
2049,6,0
2050,8,0
2051,10,0
2052,4,0
2053,8,0
2054,9,1
2055,7,0
2056,5,1
2057,8,0
2058,5,0
2059,9,0
2060,7,0
2061,6,1
2062,11,0
2063,6,0
2064,6,0
2065,3,0
2066,6,0
2067,6,0
2068,4,0
2069,1,0
2070,4,0
2071,2,0
2072,4,0
2073,6,0
2074,10,1
2075,9,0
2076,4,0
2077,5,1
2078,10,0
2079,8,0
2080,3,0
2081,8,0
2082,5,0
2083,3,1
2084,6,1
2085,3,0
2086,5,0
2087,7,1
2088,10,0
2089,8,0
2090,5,0
2091,4,1
2092,5,0
2093,8,0
2094,12,0
2095,7,0
2096,8,0
2097,10,0
2098,4,0
2099,8,0
2100,7,1
2101,5,1
2102,3,0
2103,7,0
2104,1,0
2105,2,0
2106,2,0
2107,8,0
2108,3,0
2109,6,0
2110,8,0
2111,6,1
2112,2,0
2113,5,0
2114,6,1
2115,7,1
2116,5,0
2117,4,0
2118,7,0
2119,7,0
2120,5,0
2121,12,0
2122,6,0
2123,7,0
2124,7,0
2125,4,0
2126,2,0
2127,6,0
2128,5,1
2129,4,0
2130,3,0
2131,6,0
2132,7,0
2133,4,0
2134,8,1
2135,9,0
2136,10,0
2137,4,1
2138,9,1
2139,8,1
2140,6,0
